pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_spectype,st_teff,st_rad,st_mass,st_met,sy_dist,st_spectype_main,st_spectype_encoded,Habitability_Score,temp_deviance,rad_deviance,Stellar_Compatibility,Is_Habitable
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.648,2.3,191.96932,797.0,0.11,G8 V,5200.0,0.951815,0.85,0.23,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc b,55 Cnc,2.0,7.0,Radial Velocity,1996.0,14.67,2.3,191.96932,797.0,0.115,G0 V,5613.0,0.951815,0.95,-0.0039,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc c,55 Cnc,2.0,7.0,Radial Velocity,2004.0,44.3446,2.3,191.96932,797.0,0.24,G0 V,5250.0,0.963515,0.9,0.35,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc c,55 Cnc,2.0,7.0,Radial Velocity,2004.0,44.373,2.3,191.96932,797.0,0.23735,G0 V,5250.0,0.963515,0.9,0.35,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc c,55 Cnc,2.0,7.0,Radial Velocity,2004.0,44.38,2.3,191.96932,797.0,0.237,G0 V,5250.0,0.963515,0.9,0.35,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc c,55 Cnc,2.0,7.0,Radial Velocity,2004.0,44.3936,2.3,191.96932,797.0,0.247,G8 V,5198.0,0.98,1.015,0.39,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc c,55 Cnc,2.0,7.0,Radial Velocity,2004.0,44.4175,2.3,191.96932,797.0,0.241376,G0 V,5613.0,0.951815,0.95,-0.0039,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc c,55 Cnc,2.0,7.0,Radial Velocity,2004.0,44.3989,2.3,191.96932,797.0,0.2373,G0 V,5172.0,0.943,0.905,0.35,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc c,55 Cnc,2.0,7.0,Radial Velocity,2004.0,44.3787,2.3,191.96932,797.0,0.238,G0 V,5250.0,0.963515,0.9,0.35,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc c,55 Cnc,2.0,7.0,Radial Velocity,2004.0,43.93,2.3,191.96932,797.0,0.24,G0 V,5613.0,0.951815,0.95,-0.0039,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc c,55 Cnc,2.0,7.0,Radial Velocity,2004.0,44.3827,2.3,191.96932,797.0,0.2432,G0 V,5317.89,0.964411,0.974708,0.3833,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc d,55 Cnc,2.0,7.0,Radial Velocity,2002.0,51.997325585,2.3,191.96932,797.0,5.54,G0 V,5317.89,0.964411,0.974708,0.3833,12.5855,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
