pl_orbper,pl_orbsmax,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_lum,pl_rade,pl_insol,temp_score,radius_score,insol_score,habitability_score,habitability_label
4.119027,0.0549,1538.2972,1605.0,5819.0,1.788,1.3,0.5172,12.800678,1096.0,0.0,0.0,0.0,0.0,0
4.5199279,0.049,92.80589484,1331.0,5550.0,1.16,0.96,0.10106,14.88552637,523.0,0.0,0.0,0.0,0.0,0
3.3704181,0.0446,188.47224535,1783.0,5700.0,1.77,1.07,0.51375,15.64773706,1680.0,0.0,0.0,0.0,0.0,0
2.827972,0.048,1153.71711741,1991.0,7437.0,1.47,1.6,0.77159,18.38272835,2620.0,0.0,0.0,0.0,0.0,0
282.52542,0.833,87.08498352,295.1,5734.0,0.949,0.966,-0.05849,9.33708092,1.2,0.9753472222222221,0.0,0.8,0.6301388888888888,1
2.5079204,0.03783,1369.8473,1681.0,6007.0,1.272,1.145,0.27875,12.285064,1330.0,0.0,0.0,0.0,0.0,0
1.8053564,0.02803,1938.763,1385.0,5215.0,0.849,0.896,-0.31785,12.722215,614.0,0.0,0.0,0.0,0.0,0
2.8792319,0.04127,1373.0256,1415.0,5747.0,1.076,1.128,0.05614,12.408363,669.0,0.0,0.0,0.0,0.0,0
5.0066338,0.0464,4.57,682.0,4041.0,0.569,0.577,-1.10891,1.84,36.2,0.0,0.15999999999999992,0.0,0.04799999999999997,0
23.624,0.163,147.15455244,703.0,5844.0,1.016,1.035,0.03222,7.22979255,40.3,0.0,0.0,0.0,0.0,0
16.24921,0.1291,1379.37528638,805.5,5756.0,1.086,1.082,0.06744,12.18416202,2.28,0.0,0.0,0.0,0.0,0
6.443868,0.06152,13.5,784.0,4734.0,0.726,0.748,-0.62342,2.587,62.9,0.0,0.0,0.0,0.0,0
12.226574,0.09429,2.5,634.0,4734.0,0.726,0.748,-0.62342,2.651,26.8,0.0,0.0,0.0,0.0,0
4.0782387,0.0561,1064.72516345,1728.0,6311.0,1.81,1.35,0.67117,14.57167491,532.0,0.0,0.0,0.0,0.0,0
